ds,y,hour,weekday,is_weekend,weekofyear,month,year,is_winter,air_temperature,wind_speed,precipitation_amount
2018-05-15 09:00:00,45,9,1,0,20,5,2018,0,17.8,7.2,0.0
2018-05-15 12:00:00,41,12,1,0,20,5,2018,0,21.8,7.2,0.0
2018-05-15 15:00:00,17,15,1,0,20,5,2018,0,22.866666666666664,6.0,0.0
2018-05-15 18:00:00,20,18,1,0,20,5,2018,0,20.03333333333333,3.6,0.0
2018-05-15 21:00:00,6,21,1,0,20,5,2018,0,15.1,6.0,0.0
2018-05-16 03:00:00,2,3,2,0,20,5,2018,0,12.966666666666667,13.200000000000001,0.0
2018-05-16 06:00:00,9,6,2,0,20,5,2018,0,10.799999999999999,16.8,0.0
2018-05-16 09:00:00,11,9,2,0,20,5,2018,0,8.733333333333333,16.8,0.3
2018-05-16 12:00:00,15,12,2,0,20,5,2018,0,8.633333333333333,8.4,0.0
2018-05-16 15:00:00,12,15,2,0,20,5,2018,0,8.966666666666667,12.0,0.0
2018-05-16 18:00:00,6,18,2,0,20,5,2018,0,8.166666666666666,8.4,0.0
2018-05-16 21:00:00,1,21,2,0,20,5,2018,0,5.166666666666667,3.6,0.0
2018-05-17 15:00:00,3,15,3,0,20,5,2018,0,10.666666666666666,12.0,0.0
2018-05-17 18:00:00,2,18,3,0,20,5,2018,0,9.0,8.4,0.0
2018-05-17 21:00:00,1,21,3,0,20,5,2018,0,7.233333333333333,6.0,0.0
2018-05-18 03:00:00,1,3,4,0,20,5,2018,0,6.933333333333334,7.2,0.0
2018-05-18 06:00:00,2,6,4,0,20,5,2018,0,8.333333333333334,7.2,0.0
2018-05-18 09:00:00,6,9,4,0,20,5,2018,0,10.166666666666666,4.8,0.0
2018-05-18 12:00:00,10,12,4,0,20,5,2018,0,12.266666666666666,8.4,0.1
2018-05-18 15:00:00,10,15,4,0,20,5,2018,0,12.9,10.8,0.1
2018-05-18 18:00:00,7,18,4,0,20,5,2018,0,11.1,7.2,0.0
2018-05-19 06:00:00,2,6,5,1,20,5,2018,0,11.866666666666667,8.4,0.0
2018-05-19 09:00:00,15,9,5,1,20,5,2018,0,14.866666666666667,9.6,0.1
2018-05-19 12:00:00,9,12,5,1,20,5,2018,0,15.0,8.4,0.0
2018-05-19 15:00:00,14,15,5,1,20,5,2018,0,15.166666666666666,9.6,0.0
2018-05-20 06:00:00,4,6,6,1,20,5,2018,0,14.633333333333333,4.8,0.2
2018-05-20 09:00:00,12,9,6,1,20,5,2018,0,17.0,6.0,0.2
2018-05-20 12:00:00,15,12,6,1,20,5,2018,0,21.133333333333333,8.4,0.0
2018-05-20 15:00:00,9,15,6,1,20,5,2018,0,19.066666666666666,6.0,0.2
2018-05-20 18:00:00,1,18,6,1,20,5,2018,0,18.066666666666666,7.2,0.0
2018-05-20 21:00:00,1,21,6,1,20,5,2018,0,16.75,5.4,0.0
2018-05-21 06:00:00,9,6,0,0,21,5,2018,0,14.933333333333332,8.4,0.0
2018-05-21 09:00:00,6,9,0,0,21,5,2018,0,17.8,10.800000000000002,0.0
2018-05-21 12:00:00,12,12,0,0,21,5,2018,0,20.066666666666666,9.6,0.0
2018-05-21 15:00:00,12,15,0,0,21,5,2018,0,17.266666666666666,10.800000000000002,0.0
2018-05-21 18:00:00,11,18,0,0,21,5,2018,0,15.533333333333333,6.0,0.0
2018-05-22 03:00:00,4,3,1,0,21,5,2018,0,11.533333333333333,4.8,0.0
2018-05-22 06:00:00,14,6,1,0,21,5,2018,0,13.166666666666666,10.799999999999999,0.1
2018-05-22 09:00:00,4,9,1,0,21,5,2018,0,12.033333333333333,10.800000000000002,0.0
2018-05-22 12:00:00,17,12,1,0,21,5,2018,0,11.166666666666666,13.200000000000001,0.0
2018-05-22 15:00:00,9,15,1,0,21,5,2018,0,10.200000000000001,8.4,0.0
2018-05-22 18:00:00,14,18,1,0,21,5,2018,0,10.066666666666666,7.2,0.0
2018-05-22 21:00:00,1,21,1,0,21,5,2018,0,8.066666666666666,12.0,0.0
2018-05-23 03:00:00,3,3,2,0,21,5,2018,0,6.266666666666667,6.0,0.0
2018-05-23 06:00:00,4,6,2,0,21,5,2018,0,9.066666666666666,9.6,0.0
2018-05-23 09:00:00,6,9,2,0,21,5,2018,0,11.933333333333332,10.800000000000002,0.0
2018-05-23 12:00:00,29,12,2,0,21,5,2018,0,14.6,8.4,0.1
2018-05-23 15:00:00,23,15,2,0,21,5,2018,0,16.433333333333334,7.2,0.0
2018-05-23 18:00:00,7,18,2,0,21,5,2018,0,14.200000000000001,3.6,0.1
2018-05-23 21:00:00,1,21,2,0,21,5,2018,0,9.533333333333333,5.4,0.0
2018-05-24 03:00:00,6,3,3,0,21,5,2018,0,7.066666666666666,3.6,0.0
2018-05-24 06:00:00,11,6,3,0,21,5,2018,0,13.166666666666666,4.8,0.0
2018-05-24 09:00:00,11,9,3,0,21,5,2018,0,16.733333333333334,7.2,0.1
2018-05-24 12:00:00,22,12,3,0,21,5,2018,0,18.233333333333334,12.0,0.0
2018-05-24 15:00:00,13,15,3,0,21,5,2018,0,16.233333333333334,12.0,0.1
2018-05-24 18:00:00,9,18,3,0,21,5,2018,0,14.0,6.0,0.0
2018-05-24 21:00:00,3,21,3,0,21,5,2018,0,9.933333333333332,8.4,0.0
2018-05-25 03:00:00,1,3,4,0,21,5,2018,0,7.3,8.4,0.0
2018-05-25 06:00:00,9,6,4,0,21,5,2018,0,12.666666666666666,6.0,0.0
2018-05-25 09:00:00,13,9,4,0,21,5,2018,0,18.2,6.0,0.0
2018-05-25 12:00:00,20,12,4,0,21,5,2018,0,19.5,12.0,0.1
2018-05-25 15:00:00,18,15,4,0,21,5,2018,0,16.133333333333333,13.200000000000001,0.0
2018-05-25 18:00:00,10,18,4,0,21,5,2018,0,11.466666666666667,9.6,0.0
2018-05-25 21:00:00,2,21,4,0,21,5,2018,0,8.066666666666666,5.4,0.0
2018-05-26 03:00:00,2,3,5,1,21,5,2018,0,9.0,5.4,0.0
2018-05-26 06:00:00,5,6,5,1,21,5,2018,0,9.166666666666666,3.6,0.0
2018-05-26 09:00:00,23,9,5,1,21,5,2018,0,11.466666666666667,3.6,0.0
2018-05-26 12:00:00,15,12,5,1,21,5,2018,0,14.633333333333333,7.2,0.0
2018-05-26 15:00:00,17,15,5,1,21,5,2018,0,14.799999999999999,9.6,0.1
2018-05-26 18:00:00,10,18,5,1,21,5,2018,0,13.5,5.4,0.0
2018-05-26 21:00:00,1,21,5,1,21,5,2018,0,9.799999999999999,6.0,0.0
2018-05-27 03:00:00,1,3,6,1,21,5,2018,0,8.933333333333334,6.0,0.0
2018-05-27 06:00:00,2,6,6,1,21,5,2018,0,12.6,10.799999999999999,0.1
2018-05-27 09:00:00,9,9,6,1,21,5,2018,0,16.5,12.0,0.0
2018-05-27 12:00:00,8,12,6,1,21,5,2018,0,19.950000000000003,12.600000000000001,0.0
2018-05-27 15:00:00,9,15,6,1,21,5,2018,0,23.333333333333332,13.200000000000001,0.0
2018-05-27 18:00:00,4,18,6,1,21,5,2018,0,22.0,4.8,0.0
2018-05-27 21:00:00,1,21,6,1,21,5,2018,0,16.533333333333335,3.6,0.0
2018-05-28 03:00:00,2,3,0,0,22,5,2018,0,15.333333333333334,4.8,0.0
2018-05-28 06:00:00,5,6,0,0,22,5,2018,0,17.233333333333334,3.6,0.0
2018-05-28 09:00:00,6,9,0,0,22,5,2018,0,19.766666666666666,3.6,0.0
2018-05-28 12:00:00,16,12,0,0,22,5,2018,0,20.900000000000002,9.6,0.0
2018-05-28 15:00:00,5,15,0,0,22,5,2018,0,21.5,7.2,0.0
2018-05-28 18:00:00,5,18,0,0,22,5,2018,0,19.266666666666666,7.2,0.0
2018-05-28 21:00:00,1,21,0,0,22,5,2018,0,16.2,6.0,0.0
2018-05-29 03:00:00,4,3,1,0,22,5,2018,0,13.0,7.2,0.0
2018-05-29 06:00:00,4,6,1,0,22,5,2018,0,17.266666666666666,9.6,0.1
2018-05-29 09:00:00,5,9,1,0,22,5,2018,0,17.0,14.4,0.2
2018-05-29 12:00:00,13,12,1,0,22,5,2018,0,16.9,12.600000000000001,0.0
2018-05-29 15:00:00,13,15,1,0,22,5,2018,0,16.25,12.600000000000001,0.1
2018-05-29 18:00:00,9,18,1,0,22,5,2018,0,14.166666666666666,6.0,0.0
2018-05-29 21:00:00,4,21,1,0,22,5,2018,0,10.899999999999999,5.4,0.0
2018-05-30 03:00:00,4,3,2,0,22,5,2018,0,10.2,7.2,0.0
2018-05-30 06:00:00,11,6,2,0,22,5,2018,0,11.649999999999999,10.8,0.0
2018-05-30 09:00:00,23,9,2,0,22,5,2018,0,,,0.0
2018-05-30 12:00:00,31,12,2,0,22,5,2018,0,22.0,10.8,0.0
2018-05-30 15:00:00,46,15,2,0,22,5,2018,0,23.099999999999998,9.6,0.0
2018-05-30 18:00:00,21,18,2,0,22,5,2018,0,22.0,5.4,0.0
2018-05-30 21:00:00,7,21,2,0,22,5,2018,0,17.466666666666665,4.8,0.0
2018-05-31 03:00:00,8,3,3,0,22,5,2018,0,16.3,5.4,0.0
2018-05-31 06:00:00,26,6,3,0,22,5,2018,0,18.8,3.6,0.1
2018-05-31 09:00:00,10,9,3,0,22,5,2018,0,22.96666666666667,3.6,0.1
2018-05-31 12:00:00,45,12,3,0,22,5,2018,0,25.96666666666667,9.6,0.0
2018-05-31 15:00:00,36,15,3,0,22,5,2018,0,22.96666666666667,13.200000000000001,0.1
2018-05-31 18:00:00,22,18,3,0,22,5,2018,0,20.53333333333333,6.0,0.0
2018-05-31 21:00:00,4,21,3,0,22,5,2018,0,18.166666666666668,9.6,0.0
2018-06-01 03:00:00,10,3,4,0,22,6,2018,0,14.333333333333334,6.0,0.0
2018-06-01 06:00:00,30,6,4,0,22,6,2018,0,17.166666666666668,3.6,0.0
2018-06-01 09:00:00,21,9,4,0,22,6,2018,0,20.266666666666666,8.4,0.2
2018-06-01 12:00:00,48,12,4,0,22,6,2018,0,19.8,10.800000000000002,0.2
2018-06-01 15:00:00,53,15,4,0,22,6,2018,0,18.833333333333332,12.0,0.2
2018-06-01 18:00:00,40,18,4,0,22,6,2018,0,16.266666666666666,7.2,0.0
2018-06-01 21:00:00,8,21,4,0,22,6,2018,0,12.166666666666666,3.6,0.0
2018-06-02 03:00:00,5,3,5,1,22,6,2018,0,11.033333333333333,4.8,0.0
2018-06-02 06:00:00,14,6,5,1,22,6,2018,0,13.700000000000001,9.6,0.1
2018-06-02 09:00:00,44,9,5,1,22,6,2018,0,16.7,9.6,0.0
2018-06-02 12:00:00,41,12,5,1,22,6,2018,0,20.766666666666666,6.0,0.0
2018-06-02 15:00:00,48,15,5,1,22,6,2018,0,20.166666666666668,12.0,0.1
2018-06-02 18:00:00,40,18,5,1,22,6,2018,0,15.766666666666666,10.800000000000002,0.0
2018-06-02 21:00:00,21,21,5,1,22,6,2018,0,10.433333333333334,4.8,0.0
2018-06-03 06:00:00,10,6,6,1,22,6,2018,0,11.700000000000001,3.6,0.0
2018-06-03 09:00:00,48,9,6,1,22,6,2018,0,14.5,7.2,0.0
2018-06-03 12:00:00,47,12,6,1,22,6,2018,0,15.266666666666667,12.0,0.0
2018-06-03 15:00:00,34,15,6,1,22,6,2018,0,12.133333333333333,12.0,0.0
2018-06-03 18:00:00,20,18,6,1,22,6,2018,0,11.033333333333333,16.8,0.0
2018-06-03 21:00:00,14,21,6,1,22,6,2018,0,9.266666666666667,16.8,0.2
2018-06-04 03:00:00,10,3,0,0,23,6,2018,0,7.2,10.799999999999999,0.0
2018-06-04 06:00:00,19,6,0,0,23,6,2018,0,7.633333333333333,15.6,0.0
2018-06-04 09:00:00,19,9,0,0,23,6,2018,0,8.733333333333333,16.8,0.30000000000000004
2018-06-04 12:00:00,29,12,0,0,23,6,2018,0,9.0,14.4,0.1
2018-06-04 15:00:00,29,15,0,0,23,6,2018,0,7.566666666666666,14.4,0.1
2018-06-04 18:00:00,16,18,0,0,23,6,2018,0,5.366666666666667,10.799999999999999,0.0
2018-06-04 21:00:00,9,21,0,0,23,6,2018,0,4.566666666666666,9.6,0.2
2018-06-05 03:00:00,8,3,1,0,23,6,2018,0,4.3999999999999995,8.4,0.0
2018-06-05 06:00:00,17,6,1,0,23,6,2018,0,5.8,14.4,0.0
2018-06-05 09:00:00,23,9,1,0,23,6,2018,0,6.566666666666667,15.6,0.30000000000000004
2018-06-05 12:00:00,26,12,1,0,23,6,2018,0,6.8,13.200000000000001,0.6
2018-06-05 15:00:00,30,15,1,0,23,6,2018,0,7.5,12.0,0.0
2018-06-05 18:00:00,22,18,1,0,23,6,2018,0,6.666666666666667,12.0,0.0
2018-06-05 21:00:00,10,21,1,0,23,6,2018,0,5.333333333333333,7.2,0.0
2018-06-06 03:00:00,12,3,2,0,23,6,2018,0,5.166666666666667,7.2,0.0
2018-06-06 06:00:00,28,6,2,0,23,6,2018,0,7.166666666666667,4.8,0.0
2018-06-06 09:00:00,41,9,2,0,23,6,2018,0,9.333333333333334,7.2,0.0
2018-06-06 12:00:00,51,12,2,0,23,6,2018,0,11.133333333333333,7.2,0.0
2018-06-06 15:00:00,62,15,2,0,23,6,2018,0,12.133333333333333,7.2,0.0
2018-06-06 18:00:00,34,18,2,0,23,6,2018,0,11.633333333333335,7.2,0.1
2018-06-06 21:00:00,12,21,2,0,23,6,2018,0,7.733333333333333,3.6,0.0
2018-06-07 03:00:00,11,3,3,0,23,6,2018,0,8.033333333333333,12.0,0.0
2018-06-07 06:00:00,29,6,3,0,23,6,2018,0,9.200000000000001,14.4,0.1
2018-06-07 09:00:00,17,9,3,0,23,6,2018,0,9.233333333333333,13.200000000000001,0.7
2018-06-07 12:00:00,18,12,3,0,23,6,2018,0,9.799999999999999,15.6,0.0
2018-06-07 15:00:00,21,15,3,0,23,6,2018,0,9.533333333333333,14.4,0.2
2018-06-07 18:00:00,15,18,3,0,23,6,2018,0,9.133333333333333,8.4,0.6
2018-06-07 21:00:00,5,21,3,0,23,6,2018,0,8.733333333333333,4.8,0.6
2018-06-08 03:00:00,9,3,4,0,23,6,2018,0,8.066666666666668,4.8,0.5
2018-06-08 06:00:00,36,6,4,0,23,6,2018,0,8.9,7.2,0.0
2018-06-08 09:00:00,27,9,4,0,23,6,2018,0,9.95,10.8,0.0
2018-06-08 12:00:00,60,12,4,0,23,6,2018,0,10.35,10.8,0.0
2018-06-08 15:00:00,47,15,4,0,23,6,2018,0,9.85,10.8,0.1
2018-06-08 18:00:00,31,18,4,0,23,6,2018,0,9.233333333333334,6.0,0.0
2018-06-08 21:00:00,2,21,4,0,23,6,2018,0,8.666666666666666,3.6,0.0
2018-06-09 03:00:00,2,3,5,1,23,6,2018,0,8.65,7.2,0.0
2018-06-09 06:00:00,21,6,5,1,23,6,2018,0,10.850000000000001,9.0,0.1
2018-06-09 09:00:00,62,9,5,1,23,6,2018,0,,,0.0
2018-06-09 12:00:00,78,12,5,1,23,6,2018,0,17.866666666666664,7.2,0.0
2018-06-09 15:00:00,57,15,5,1,23,6,2018,0,19.35,5.4,0.0
2018-06-09 18:00:00,35,18,5,1,23,6,2018,0,16.3,3.6,0.0
2018-06-09 21:00:00,21,21,5,1,23,6,2018,0,11.666666666666666,6.0,0.0
2018-06-10 03:00:00,4,3,6,1,23,6,2018,0,,,0.0
